price,bt,Kms Driven,owner,Year of Manufacture,Mileage,RTO,Fuel Type,Registration Year,modelYear,Insurance Validity,Gear Box,Transmission,Seats,City,Engine Displacement
₹ 8.75 Lakh,Sedan,"46,429 Kms",2nd Owner,2018.0,17.8 kmpl,KA05,Petrol,Jun 2018,2018,Third Party insurance,7 Speed CVT,Automatic,5 Seats,bangalore,1496 cc
₹ 8.69 Lakh,Hatchback,"17,624 Kms",1st Owner,2017.0,21.4 kmpl,KA05,Petrol,Mar 2018,2017,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 4.25 Lakh,Sedan,"1,00,000 Kms",2nd Owner,2012.0,20.54 kmpl,KA53,Diesel,2012,2012,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1598 cc
₹ 10.70 Lakh,Sedan,"30,000 Kms",1st Owner,2019.0,17.4 kmpl,,Petrol,2019,2019,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1497 cc
₹ 10.25 Lakh,SUV,"49,690 Kms",2nd Owner,2018.0,15.9 kmpl,KA20,Petrol,Jun 2018,2018,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1496 cc
₹ 10 Lakh,SUV,"1,10,000 Kms",1st Owner,2016.0,16 kmpl,KA12,Diesel,2016,2016,Third Party insurance,6 Speed ,Manual,7 Seats,bangalore,2179 cc
₹ 3.75 Lakh,Sedan,"50,000 Kms",1st Owner,2009.0,16 kmpl,KA03,Petrol,2009,2009,Third Party insurance,Five Speed Manual,Manual,5 Seats,bangalore,1368 cc
₹ 3.75 Lakh,Sedan,"50,000 Kms",1st Owner,2009.0,16 kmpl,KA03,Petrol,2009,2009,Third Party insurance,Five Speed Manual,Manual,5 Seats,bangalore,1368 cc
₹ 8.44 Lakh,SUV,"55,702 Kms",1st Owner,2018.0,14.8 kmpl,KA03,Petrol,Mar 2018,2018,Comprehensive,6 Speed,Automatic,5 Seats,bangalore,1497 cc
₹ 7.64 Lakh,Hatchback,"45,046 Kms",1st Owner,2016.0,21.19 kmpl,KA04,Diesel,May 2016,2016,Third Party insurance,6 Speed,Manual,5 Seats,bangalore,1396 cc
₹ 4.20 Lakh,Hatchback,"53,000 Kms",2nd Owner,2014.0,18.5 kmpl,KA03,Petrol,2014,2014,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1197 cc
