price,bt,Kms Driven,owner,Year of Manufacture,Mileage,RTO,Fuel Type,Registration Year,modelYear,Insurance Validity,Gear Box,Transmission,Seats,City,Engine Displacement
₹ 9.91 Lakh,SUV,"20,000 Kms",1st Owner,2021,18.24,KA03,Petrol,2021,2021,Third Party insurance,CVT,Automatic,5 Seats,bangalore,999 cc
₹ 14.50 Lakh,SUV,"50,000 Kms",1st Owner,2018,17.1,KA03,Diesel,2018,2018,Third Party insurance,6 Speed,Manual,5 Seats,bangalore,1956 cc
₹ 2.19 Lakh,Sedan,"90,000 Kms",4th Owner,2011,20.54,KL24,Diesel,2011,2011,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1598 cc
₹ 12.85 Lakh,SUV,"20,000 Kms",1st Owner,2022,18.9,KA03,Diesel,2022,2022,Third Party insurance,6-Speed,Manual,5 Seats,bangalore,1493 cc
₹ 41.95 Lakh,SUV,"27,000 Kms",1st Owner,2021,18.9,KA01,Petrol,Jul 2021,2021,Comprehensive,8 Speed,Automatic,5 Seats,bangalore,1969 cc
₹ 4.55 Lakh,MUV,"1,50,000 Kms",3rd Owner,2008,12.8,KA01,Diesel,2008,2008,Third Party insurance,5 Speed,Manual,8 Seats,bangalore,2494 cc
₹ 8.25 Lakh,Hatchback,"10,000 Kms",1st Owner,2022,22.35,KA05,Petrol,2022,2022,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 8.25 Lakh,Sedan,"40,000 Kms",1st Owner,2018,17.4,KA51,Petrol,2018,2018,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1497 cc
₹ 9.20 Lakh,SUV,"40,000 Kms",1st Owner,2020,23.0,KA51,Diesel,2020,2020,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1498 cc
₹ 33 Lakh,Sedan,"20,000 Kms",2nd Owner,2018,19.27,KA03,Diesel,2018,2018,Third Party insurance,9 Speed,Automatic,5 Seats,bangalore,2143 cc
₹ 7.29 Lakh,SUV,"91,598 Kms",2nd Owner,2017,22.77,KA09,Diesel,Oct 2017,2017,Third Party,5 Speed,Manual,5 Seats,bangalore,1498 cc
