price,bt,Kms Driven,owner,Year of Manufacture,Mileage,RTO,Fuel Type,Registration Year,modelYear,Insurance Validity,Gear Box,Transmission,Seats,City,Engine Displacement
576000,Hatchback,59698,1,2015,18.6,KA01,Petrol,2015,2015,Comprehensive,5,Manual,5,bangalore,1197
949000,SUV,46071,1,2018,20.37,KA42,Diesel,2018,2018,Comprehensive,6,Manual,5,bangalore,1461
795000,SUV,90000,1,2017,24.3,KA03,Diesel,2017,2017,Third Party insurance,5,Manual,5,bangalore,1248
1085000,SUV,9554,1,2019,18.27,KA04,Petrol,2019,2019,Third Party,6,Manual,5,bangalore,998
2590000,SUV,14000,1,2022,14.1,KA01,Petrol,2022,2022,Comprehensive,7,Automatic,5,bangalore,1368
516000,SUV,74499,2,2013,20.45,KA03,Diesel,2013,2013,Third Party,5,Manual,5,bangalore,1461
777000,SUV,56211,2,2017,14.8,KA03,Petrol,2017,2017,Comprehensive,6,Automatic,5,bangalore,1497
753000,Hatchback,9001,1,2019,18.2,KA04,Petrol,2019,2019,Comprehensive,5,Manual,5,bangalore,1199
1226000,SUV,65457,2,2017,16.0,KA51,Diesel,2017,2017,Third Party insurance,6,Automatic,7,bangalore,1997
725000,Hatchback,23682,1,2017,18.7,KA53,Petrol,2017,2017,Comprehensive,5,Manual,5,bangalore,1199
1150000,Sedan,50000,1,2020,22.0,KA03,Diesel,2020,2020,Third Party insurance,6,Manual,5,bangalore,1582
629000,Hatchback,134557,2,2015,25.2,KA53,Diesel,2015,2015,Comprehensive,5,Manual,5,bangalore,1248
447000,Sedan,96567,2,2013,22.41,KA53,Petrol,2013,2013,Comprehensive,5,Manual,5,bangalore,1197
400000,Hatchback,120000,3,2015,23.1,KA51,Petrol,2015,2015,Third Party insurance,5,Manual,5,bangalore,998
786000,MUV,83007,2,2014,20.77,KA51,Diesel,2015,2014,Comprehensive,5,Manual,7,bangalore,1248
745000,Hatchback,34000,1,2018,18.7,KA02,Petrol,2018,2018,Comprehensive,5,Manual,5,bangalore,1199
490000,Hatchback,81634,1,2014,18.9,KA25,Petrol,2014,2014,Comprehensive,4,Automatic,5,bangalore,1197
942000,Sedan,57284,2,2017,18.0,KA53,Petrol,2017,2017,Comprehensive,0,Automatic,5,bangalore,1497
675000,SUV,70000,2,2016,15.63,KA53,Petrol,2016,2016,Third Party insurance,6,Automatic,5,bangalore,1499
330000,Hatchback,70000,2,2013,19.4,KA04,Petrol,2013,2013,Third Party insurance,5,Manual,5,bangalore,1198
875000,Sedan,46429,2,2018,17.8,KA05,Petrol,2018,2018,Third Party insurance,7,Automatic,5,bangalore,1496
869000,Hatchback,17624,1,2017,21.4,KA05,Petrol,2018,2017,Comprehensive,5,Manual,5,bangalore,1197
425000,Sedan,100000,2,2012,20.54,KA53,Diesel,2012,2012,Third Party insurance,5,Manual,5,bangalore,1598
